SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1998-99,1m,Players,100088,Michelle Edwards,Michelle,1611661315,CLE,33.0,1,0,1,0.0,1.2333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-4,0.0,0,0,0.0,1,11,11,11,1,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,17,1,10,16,12,3,1,12,1
1998-99,1m,Players,100097,Rushia Brown,Rushia,1611661315,CLE,27.0,1,0,1,0.0,1.2333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0.0,1,11,11,11,1,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,1,1,10,16,12,3,1,12,1
1998-99,1m,Players,100072,Sheryl Swoopes,Sheryl,1611661316,HOU,28.0,1,1,0,1.0,1.1166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,0,0.0,1,1,1,1,11,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,1,1,10,6,12,1,1,12,1
1998-99,1m,Players,100187,Suzie McConnell Serio,Suzie,1611661315,CLE,32.0,1,0,1,0.0,1.2333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-4,-1.0,0,0,0.0,1,11,11,11,1,7,7,7,3,3,3,5,5,5,2,1,2,5,1,4,1,1,1,1,10,16,20,3,1,12,1
1998-99,1m,Players,100047,Tammi Reiss,Tammi,1611661319,UTA,29.0,1,0,1,0.0,0.57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,0,0,0.0,1,11,11,11,19,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,17,1,10,6,12,3,1,12,1
1998-99,1m,Players,100076,Tina Thompson,Tina,1611661316,HOU,24.0,1,1,0,1.0,1.1166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,1,1,1,11,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,1,1,10,6,12,3,1,12,1
1998-99,1m,Players,100237,Tricia Bader Binford,Tricia,1611661319,UTA,26.0,1,0,1,0.0,0.5583333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,-4,-1.0,0,0,0.0,1,11,11,11,21,7,7,7,3,3,3,5,5,5,2,1,2,5,1,4,1,1,17,1,10,16,20,3,1,12,1
1998-99,1m,Players,100035,Umeki Webb,Umeki,1611661317,PHO,24.0,1,1,0,1.0,1.2333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.0,1,1,1,1,1,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,1,1,10,1,12,3,1,12,1
1998-99,1m,Players,100085,Yolanda Moore,Yolanda,1611661316,HOU,24.0,1,1,0,1.0,1.1166666666666667,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,1,0,0,0,0,1,2,4.0,0,0,3.0,1,1,1,1,11,7,7,7,3,3,3,3,2,2,2,1,2,5,6,1,1,1,1,1,9,6,4,3,1,7,1
1999-00,1m,Players,100170,Allison Feaster,Allison,1611661320,LAS,24.0,1,1,0,1.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0.0,1,1,1,1,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,1,9,4,1,9,1
1999-00,1m,Players,100402,Andrea Lloyd-Curry,Andrea,1611661324,MIN,34.0,1,0,1,0.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-6,0.0,0,0,0.0,1,12,12,12,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,16,1,7,19,9,4,1,9,1
1999-00,1m,Players,100353,Andrea Nagy,Andrea,1611661322,WAS,28.0,1,1,0,1.0,1.1466666666666667,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,0,3,-1,3.0,0,0,3.0,1,1,1,1,9,1,3,1,1,2,1,5,2,5,2,4,4,1,2,2,1,1,16,1,2,11,4,4,1,3,1
1999-00,1m,Players,100225,Brandy Reed,Brandy,1611661324,MIN,23.0,1,0,1,0.0,1.0316666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-6,-1.0,0,0,0.0,1,12,12,12,11,4,3,4,1,2,1,6,6,6,2,4,4,1,1,2,1,1,1,1,7,19,23,4,1,9,1
1999-00,1m,Players,100356,Chamique Holdsclaw,Chamique,1611661322,WAS,22.0,1,1,0,1.0,1.3166666666666667,0,0,0.0,0,0,0.0,2,2,1.0,0,2,2,0,0,0,0,0,0,0,2,3,4.4,1,0,4.0,1,1,1,1,1,4,6,4,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,3,7,2,1,1,2,1
1999-00,1m,Players,100386,Claudia Neves,Claudia,1611661321,DET,25.0,1,0,1,0.0,0.26166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,12,12,12,21,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,14,9,4,1,9,1
1999-00,1m,Players,100396,DeLisha Milton-Jones,DeLisha,1611661320,LAS,25.0,1,1,0,1.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0.0,1,1,1,1,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,1,9,4,1,9,1
1999-00,1m,Players,100384,Dominique Canty,Dominique,1611661321,DET,23.0,1,0,1,0.0,1.3166666666666667,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-3,0.0,0,0,0.0,1,12,12,12,1,4,1,4,1,1,1,6,6,6,2,4,4,1,2,2,1,1,16,1,7,16,9,4,1,9,1
1999-00,1m,Players,100394,Gordana Grubin,Gordana,1611661320,LAS,27.0,1,1,0,1.0,1.0316666666666667,1,1,1.0,0,0,0.0,4,5,0.8,0,0,0,0,0,0,0,0,0,0,6,6,6.0,0,0,6.0,1,1,1,1,11,1,3,1,1,2,1,1,1,4,2,4,4,1,2,2,1,1,1,1,1,1,1,4,1,1,1
1999-00,1m,Players,100404,Katie Smith,Katie,1611661324,MIN,26.0,1,0,1,0.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-6,0.0,0,0,0.0,1,12,12,12,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,16,1,7,19,9,4,1,9,1
1999-00,1m,Players,100250,Korie Hlede,Korie,1611661319,UTA,25.0,1,0,1,0.0,1.3166666666666667,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,0,2,-3,2.0,0,0,2.0,1,12,12,12,1,4,6,4,1,2,1,2,2,1,2,4,4,1,2,2,1,1,1,1,3,16,6,4,1,5,1
1999-00,1m,Players,100400,Kristin Folkl,Kristin,1611661324,MIN,24.0,1,0,1,0.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-6,0.0,0,0,0.0,1,12,12,12,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,16,1,7,19,9,4,1,9,1
1999-00,1m,Players,100383,Lesley Brown,Lesley,1611661321,DET,23.0,1,0,1,0.0,0.016666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,12,12,12,23,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,14,9,4,1,9,1
1999-00,1m,Players,100348,Markita Aldridge,Markita,1611661322,WAS,26.0,1,1,0,1.0,1.3166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,3,0.0,0,0,0.0,1,1,1,1,1,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,16,1,7,7,9,4,1,9,1
1999-00,1m,Players,100199,Murriel Page,Murriel,1611661322,WAS,24.0,1,1,0,1.0,1.3166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1,0,0.0,1,1,1,1,1,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,7,9,1,1,9,1
1999-00,1m,Players,100012,Mwadi Mabika,Mwadi,1611661320,LAS,23.0,1,1,0,1.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0.0,1,1,1,1,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,1,9,4,1,9,1
1999-00,1m,Players,100391,Nina Bjedov,Nina,1611661320,LAS,28.0,1,1,0,1.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,6,4.2,0,0,3.0,1,1,1,1,11,4,6,4,1,2,1,6,6,6,2,2,3,1,2,1,1,1,1,1,7,1,3,4,1,3,1
1999-00,1m,Players,100255,Rachael Sporn,Rachael,1611661321,DET,32.0,1,0,1,0.0,1.3166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,1,12,12,12,1,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,16,9,4,1,9,1
1999-00,1m,Players,100204,Rita Williams,Rita,1611661322,WAS,24.0,1,1,0,1.0,0.17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.0,1,1,1,1,22,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,6,9,4,1,9,1
1999-00,1m,Players,100247,Sandy Brondello,Sandy,1611661321,DET,31.0,1,0,1,0.0,1.055,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2,-1,2.0,0,0,2.0,1,12,12,12,10,1,2,3,1,2,1,6,6,6,2,4,4,1,2,2,1,1,23,1,3,11,6,4,1,5,1
1999-00,1m,Players,100350,Shalonda Enis,Shalonda,1611661322,WAS,25.0,1,1,0,1.0,1.3166666666666667,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,0,2,3,2.0,0,0,2.0,1,1,1,1,1,4,6,4,1,2,1,2,2,1,2,4,4,1,2,2,1,1,1,1,3,7,6,4,1,5,1
1999-00,1m,Players,100406,Sonja Tate,Sonja,1611661324,MIN,28.0,1,0,1,0.0,1.0316666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0.0,1,12,12,12,11,4,6,4,1,2,1,6,6,6,2,4,4,1,2,2,1,1,1,1,7,19,9,4,1,9,1
1999-00,1m,Players,100389,Val Whiting,Val,1611661321,DET,28.0,1,0,1,0.0,1.3,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,-1,2.4,1,0,2.0,1,12,12,12,8,4,6,4,1,2,1,6,6,6,1,2,1,1,2,2,1,1,16,1,7,11,5,1,1,5,1
2000-01,1m,Players,100100,Adrienne Johnson,Adrienne,1611661323,ORL,27.0,1,0,1,0.0,1.2,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,-3,1.2,0,0,1.0,1,13,13,13,1,4,1,4,1,1,1,4,4,4,1,5,2,2,3,2,1,1,1,1,7,16,7,3,1,8,1
2000-01,1m,Players,100429,Alisa Burras,Alisa,1611661327,POR,26.0,1,0,1,0.0,0.8566666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-4,-1.0,0,0,0.0,1,13,13,13,18,4,6,4,1,3,1,4,4,4,3,5,6,2,1,2,1,1,1,1,7,20,24,3,1,11,1
2000-01,1m,Players,100411,Carla McGhee,Carla,1611661323,ORL,33.0,1,0,1,0.0,0.8566666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,13,13,13,18,4,6,4,1,3,1,4,4,4,3,5,6,2,3,2,1,1,1,1,7,15,11,3,1,11,1
2000-01,1m,Players,100073,Cynthia Cooper,Cynthia,1611661316,HOU,38.0,1,1,0,1.0,1.05,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,0,2,4,2.0,0,0,2.0,1,1,1,1,9,4,6,4,1,3,1,1,1,1,3,5,6,2,3,2,1,1,1,1,1,1,4,3,1,2,1
2000-01,1m,Players,100359,Debbie Black,Debbie,1611661326,MIA,34.0,1,1,0,1.0,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,3,0.0,0,0,0.0,1,1,1,1,1,4,6,4,1,3,1,4,4,4,3,5,6,2,3,2,1,1,19,1,7,6,11,3,1,11,1
2000-01,1m,Players,100075,Janeth Arcain,Janeth,1611661316,HOU,32.0,1,1,0,1.0,1.05,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,4,1.2,0,0,1.0,1,1,1,1,9,4,6,4,1,3,1,4,4,4,3,1,2,2,3,2,1,1,1,1,7,1,7,3,1,8,1
2000-01,1m,Players,100338,Jennifer Rizzotti,Jennifer,1611661316,HOU,27.0,1,1,0,1.0,0.19333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1,1,23,4,6,4,1,3,1,4,4,4,3,5,6,2,3,2,1,1,1,1,7,12,11,3,1,11,1
2000-01,1m,Players,100009,Katrina Colleton,Katrina,1611661326,MIA,30.0,1,1,0,1.0,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,1,1,1,1,1,4,6,4,1,3,1,4,4,4,3,5,6,2,3,2,1,1,1,1,7,6,11,3,1,11,1
2000-01,1m,Players,100107,Kisha Ford,Kisha,1611661326,MIA,26.0,1,1,0,1.0,0.29833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1,1,1,1,22,4,6,4,1,3,1,4,4,4,3,5,6,2,3,2,1,1,1,1,7,11,11,3,1,11,1
2000-01,1m,Players,100552,Kristen Rasmussen,Kristen,1611661326,MIA,22.0,1,1,0,1.0,0.9016666666666666,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,0,0,2.0,1,1,1,1,17,4,6,4,1,3,1,1,1,1,3,5,6,2,3,2,1,1,1,1,1,10,4,3,1,2,1
2000-01,1m,Players,100037,Marlies Askamp,Marlies,1611661326,MIA,30.0,1,1,0,1.0,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,3,1.2,1,0,1.0,1,1,1,1,1,4,6,4,1,3,1,4,4,4,3,1,2,2,3,2,1,1,1,1,7,6,7,1,1,8,1
2000-01,1m,Players,100415,Nykesha Sales,Nykesha,1611661323,ORL,25.0,1,0,1,0.0,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-3,0.0,0,0,0.0,1,13,13,13,1,4,6,4,1,3,1,4,4,4,3,5,6,2,3,2,1,1,19,1,7,16,11,3,1,11,1
